[ WARN] [2020-11-15] [04:40:41,134] [x80009b8d0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:40:41,184] [x80009b6b0] StarSystem.update - starsystem c
[ INFO] [2020-11-15] [04:40:42,133] [x80009b8d0] Galaxy.galaxyWorker - tick 2
[ WARN] [2020-11-15] [04:40:42,133] [x80009b8d0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:40:42,183] [x80009b6b0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:40:42,183] [x8000acbb0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:40:42,233] [x80009b6b0] StarSystem.update - starsystem c
[ WARN] [2020-11-15] [04:40:42,233] [x80009b8d0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:40:43,134] [x80009b8d0] Galaxy.galaxyWorker - tick 3
[ WARN] [2020-11-15] [04:40:43,134] [x80009b8d0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:40:43,184] [x8000acbb0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:40:43,184] [x80009b6b0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:40:43,234] [x8000acbb0] StarSystem.update - starsystem c
[ WARN] [2020-11-15] [04:40:43,234] [x80009b8d0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:40:44,134] [x80009b8d0] Galaxy.galaxyWorker - tick 4
[ WARN] [2020-11-15] [04:40:44,134] [x80009b8d0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:40:44,184] [x80009b6b0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:40:44,184] [x8000acbb0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:40:44,234] [x80009b6b0] StarSystem.update - starsystem c
[ WARN] [2020-11-15] [04:40:44,234] [x80009b8d0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:40:45,134] [x80009b8d0] Galaxy.galaxyWorker - tick 5
[ WARN] [2020-11-15] [04:40:45,134] [x80009b8d0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:40:45,184] [x80009b6b0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:40:45,184] [x8000acbb0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:40:45,234] [x80009b6b0] StarSystem.update - starsystem c
[ WARN] [2020-11-15] [04:40:45,234] [x80009b8d0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:40:46,134] [x80009b8d0] Galaxy.galaxyWorker - tick 6
[ WARN] [2020-11-15] [04:40:46,134] [x80009b8d0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:40:46,184] [x80009b6b0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:40:46,184] [x8000acbb0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:40:46,234] [x80009b6b0] StarSystem.update - starsystem c
[ WARN] [2020-11-15] [04:40:46,234] [x80009b8d0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:40:47,135] [x80009b8d0] Galaxy.galaxyWorker - tick 7
[ WARN] [2020-11-15] [04:40:47,135] [x80009b8d0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:40:47,185] [x80009b6b0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:40:47,185] [x8000acbb0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:40:47,235] [x80009b6b0] StarSystem.update - starsystem c
[ WARN] [2020-11-15] [04:40:47,235] [x80009b8d0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:40:48,135] [x80009b8d0] Galaxy.galaxyWorker - tick 8
[ WARN] [2020-11-15] [04:40:48,135] [x80009b8d0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:40:48,185] [x80009b6b0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:40:48,185] [x8000acbb0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:40:48,235] [x80009b6b0] StarSystem.update - starsystem c
[ WARN] [2020-11-15] [04:40:48,235] [x80009b8d0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:40:49,135] [x80009b8d0] Galaxy.galaxyWorker - tick 9
[ WARN] [2020-11-15] [04:40:49,135] [x80009b8d0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:40:49,185] [x80009b6b0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:40:49,185] [x8000acbb0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:40:49,235] [x80009b6b0] StarSystem.update - starsystem c
[ WARN] [2020-11-15] [04:40:49,235] [x80009b8d0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:40:50,135] [x80009b8d0] Galaxy.galaxyWorker - tick 10
[ WARN] [2020-11-15] [04:40:50,135] [x80009b8d0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:40:50,185] [x80009b6b0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:40:50,185] [x8000acbb0] StarSystem.update - starsystem b
